,station_id,station_line,lat,Complex ID,name,lines,boro,long,line_,dir,pf_id,node_id
0,101,1,40.889848,293,Van Cortlandt Park - 242 St,1,Bx,-73.898583,1,S,101-1-S,101-1-S
1,103,1,40.885267,294,238 St,1,Bx,-73.90087,1,S,103-1-S,103-1-S
2,104,1,40.879456,295,231 St,1,Bx,-73.904834,1,S,104-1-S,104-1-S
3,106,1,40.875161,296,Marble Hill - 225 St,1,M,-73.909831,1,S,106-1-S,106-1-S
4,107,1,40.870044,297,215 St,1,M,-73.915279,1,S,107-1-S,107-1-S
5,108,1,40.865221,298,207 St,1,M,-73.918822,1,S,108-1-S,108-1-S
6,109,1,40.861131,299,Dyckman St,1,M,-73.925536,1,S,109-1-S,109-1-S
7,110,1,40.855824999999996,300,191 St,1,M,-73.929412,1,S,110-1-S,110-1-S
8,111,1,40.850105,301,181 St,1,M,-73.933596,1,S,111-1-S,111-1-S
9,112,1,40.841156,605,168 St - Washington Hts,1,M,-73.940133,1,S,112-1-S,112-1-S
10,113,1,40.834641,303,157 St,1,M,-73.94489,1,S,113-1-S,113-1-S
11,114,1,40.827151,304,145 St,1,M,-73.95036,1,S,114-1-S,114-1-S
12,115,1,40.822607999999995,305,137 St - City College,1,M,-73.953676,1,S,115-1-S,115-1-S
13,116,1,40.816181,306,125 St,1,M,-73.958372,1,S,116-1-S,116-1-S
14,117,1,40.808322,307,116 St - Columbia University,1,M,-73.96411,1,S,117-1-S,117-1-S
15,118,1,40.804567,308,Cathedral Pkwy,1,M,-73.966847,1,S,118-1-S,118-1-S
16,119,1,40.800046,309,103 St,1,M,-73.968379,1,S,119-1-S,119-1-S
17,120,1,40.794519,310,96 St,1 2 3,M,-73.972323,1,S,120-1-S,120-1-S
18,120,2,40.793919,310,96 St,1 2 3,M,-73.971723,2,S,120-2-S,120-2-S
19,120,3,40.793319000000004,310,96 St,1 2 3,M,-73.972323,3,S,120-3-S,120-3-S
20,121,1,40.789244,311,86 St,1,M,-73.976218,1,S,121-1-S,121-1-S
21,122,1,40.784534,312,79 St,1,M,-73.979917,1,S,122-1-S,122-1-S
22,123,1,40.779053,313,72 St,1 2 3,M,-73.98197,1,S,123-1-S,123-1-S
23,123,2,40.778453,313,72 St,1 2 3,M,-73.98137,2,S,123-2-S,123-2-S
24,123,3,40.777853,313,72 St,1 2 3,M,-73.98197,3,S,123-3-S,123-3-S
25,124,1,40.77404,314,66 St - Lincoln Center,1,M,-73.982209,1,S,124-1-S,124-1-S
26,125,1,40.768847,614,59 St - Columbus Circle,1,M,-73.981929,1,S,125-1-S,125-1-S
27,126,1,40.762328,316,50 St,1,M,-73.983849,1,S,126-1-S,126-1-S
28,127,1,40.75589,611,Times Sq - 42 St,1 2 3,M,-73.987495,1,S,127-1-S,127-1-S
29,127,2,40.75529,611,Times Sq - 42 St,1 2 3,M,-73.98689499999999,2,S,127-2-S,127-2-S
30,127,3,40.754690000000004,611,Times Sq - 42 St,1 2 3,M,-73.987495,3,S,127-3-S,127-3-S
31,128,1,40.750973,318,34 St - Penn Station,1 2 3,M,-73.991057,1,S,128-1-S,128-1-S
32,128,2,40.750373,318,34 St - Penn Station,1 2 3,M,-73.99045699999999,2,S,128-2-S,128-2-S
33,128,3,40.749773000000005,318,34 St - Penn Station,1 2 3,M,-73.991057,3,S,128-3-S,128-3-S
34,129,1,40.747814999999996,319,28 St,1,M,-73.993365,1,S,129-1-S,129-1-S
35,130,1,40.744681,320,23 St,1,M,-73.995657,1,S,130-1-S,130-1-S
36,131,1,40.74164,321,18 St,1,M,-73.997871,1,S,131-1-S,131-1-S
37,132,1,40.738426,601,14 St,1 2 3,M,-74.000201,1,S,132-1-S,132-1-S
38,132,2,40.737826,601,14 St,1 2 3,M,-73.999601,2,S,132-2-S,132-2-S
39,132,3,40.737226,601,14 St,1 2 3,M,-74.000201,3,S,132-3-S,132-3-S
40,133,1,40.734021999999996,323,Christopher St - Sheridan Sq,1,M,-74.002906,1,S,133-1-S,133-1-S
41,134,1,40.728851,324,Houston St,1,M,-74.005367,1,S,134-1-S,134-1-S
42,135,1,40.723454,325,Canal St,1,M,-74.006277,1,S,135-1-S,135-1-S
43,136,1,40.719918,326,Franklin St,1,M,-74.006886,1,S,136-1-S,136-1-S
44,137,1,40.716077999999996,327,Chambers St,1 2 3,M,-74.009266,1,S,137-1-S,137-1-S
45,137,2,40.715478,327,Chambers St,1 2 3,M,-74.00866599999999,2,S,137-2-S,137-2-S
46,137,3,40.714878,327,Chambers St,1 2 3,M,-74.009266,3,S,137-3-S,137-3-S
47,138,1,40.712435,328,Cortlandt St,1,M,-74.012188,1,S,138-1-S,138-1-S
48,139,1,40.708113,329,Rector St,1,M,-74.013783,1,S,139-1-S,139-1-S
49,140,1,40.702011,635,South Ferry Loop,1,M,-74.013205,1,S,140-1-S,140-1-S
50,201,1,40.903725,416,Wakefield - 241 St,2,Bx,-73.85062,2,S,201-2-S,201-2-S
51,204,1,40.898979,417,Nereid Av,2 5,Bx,-73.854376,2,S,204-2-S,204-2-S
52,204,2,40.898379,417,Nereid Av,2 5,Bx,-73.853776,5,S,204-5-S,204-5-S
53,205,1,40.893792999999995,418,233 St,2 5,Bx,-73.857473,2,S,205-2-S,205-2-S
54,205,2,40.893193,418,233 St,2 5,Bx,-73.856873,5,S,205-5-S,205-5-S
55,206,1,40.888622,419,225 St,2 5,Bx,-73.860341,2,S,206-2-S,206-2-S
56,206,2,40.888022,419,225 St,2 5,Bx,-73.859741,5,S,206-5-S,206-5-S
57,207,1,40.884495,420,219 St,2 5,Bx,-73.862633,2,S,207-2-S,207-2-S
58,207,2,40.883895,420,219 St,2 5,Bx,-73.862033,5,S,207-5-S,207-5-S
59,208,1,40.87845,421,Gun Hill Rd,2 5,Bx,-73.866256,2,S,208-2-S,208-2-S
60,208,2,40.87785,421,Gun Hill Rd,2 5,Bx,-73.865656,5,S,208-5-S,208-5-S
61,209,1,40.871956,422,Burke Av,2 5,Bx,-73.867164,2,S,209-2-S,209-2-S
62,209,2,40.871356,422,Burke Av,2 5,Bx,-73.866564,5,S,209-5-S,209-5-S
63,210,1,40.866062,423,Allerton Av,2 5,Bx,-73.867352,2,S,210-2-S,210-2-S
64,210,2,40.865462,423,Allerton Av,2 5,Bx,-73.86675199999999,5,S,210-5-S,210-5-S
65,211,1,40.857791999999996,424,Pelham Pkwy,2 5,Bx,-73.867615,2,S,211-2-S,211-2-S
66,211,2,40.857192,424,Pelham Pkwy,2 5,Bx,-73.867015,5,S,211-5-S,211-5-S
67,212,1,40.849427999999996,425,Bronx Park East,2 5,Bx,-73.868457,2,S,212-2-S,212-2-S
68,212,2,40.848828,425,Bronx Park East,2 5,Bx,-73.867857,5,S,212-5-S,212-5-S
69,213,1,40.842494,426,E 180 St,2 5,Bx,-73.873488,2,S,213-2-S,213-2-S
70,213,2,40.841894,426,E 180 St,2 5,Bx,-73.87288799999999,5,S,213-5-S,213-5-S
71,214,1,40.840894999999996,427,West Farms Sq - E Tremont Av,2 5,Bx,-73.880049,2,S,214-2-S,214-2-S
72,214,2,40.840295,427,West Farms Sq - E Tremont Av,2 5,Bx,-73.879449,5,S,214-5-S,214-5-S
73,215,1,40.837888,428,174 St,2 5,Bx,-73.887734,2,S,215-2-S,215-2-S
74,215,2,40.837288,428,174 St,2 5,Bx,-73.88713399999999,5,S,215-5-S,215-5-S
75,216,1,40.830593,429,Freeman St,2 5,Bx,-73.891865,2,S,216-2-S,216-2-S
76,216,2,40.829993,429,Freeman St,2 5,Bx,-73.89126499999999,5,S,216-5-S,216-5-S
77,217,1,40.824673,430,Simpson St,2 5,Bx,-73.893064,2,S,217-2-S,217-2-S
78,217,2,40.824073,430,Simpson St,2 5,Bx,-73.89246399999999,5,S,217-5-S,217-5-S
79,218,1,40.822781,431,Intervale Av,2 5,Bx,-73.896736,2,S,218-2-S,218-2-S
80,218,2,40.822181,431,Intervale Av,2 5,Bx,-73.896136,5,S,218-5-S,218-5-S
81,219,1,40.820184999999995,432,Prospect Av,2 5,Bx,-73.90177,2,S,219-2-S,219-2-S
82,219,2,40.819585,432,Prospect Av,2 5,Bx,-73.90117,5,S,219-5-S,219-5-S
83,220,1,40.81709,433,Jackson Av,2 5,Bx,-73.907807,2,S,220-2-S,220-2-S
84,220,2,40.81649,433,Jackson Av,2 5,Bx,-73.907207,5,S,220-5-S,220-5-S
85,221,1,40.816708999999996,434,3 Av - 149 St,2 5,Bx,-73.917757,2,S,221-2-S,221-2-S
86,221,2,40.816109,434,3 Av - 149 St,2 5,Bx,-73.91715699999999,5,S,221-5-S,221-5-S
87,222,1,40.81901,603,149 St - Grand Concourse,2 5,Bx,-73.926718,2,S,222-2-S,222-2-S
88,222,2,40.81841,603,149 St - Grand Concourse,2 5,Bx,-73.92611799999999,5,S,222-5-S,222-5-S
89,224,1,40.814828999999996,438,135 St,2 3,M,-73.94077,2,S,224-2-S,224-2-S
90,224,2,40.814229,438,135 St,2 3,M,-73.94017,3,S,224-3-S,224-3-S
91,225,1,40.808354,439,125 St,2 3,M,-73.945495,2,S,225-2-S,225-2-S
92,225,2,40.807754,439,125 St,2 3,M,-73.94489499999999,3,S,225-3-S,225-3-S
93,226,1,40.802698,440,116 St,2 3,M,-73.949625,2,S,226-2-S,226-2-S
94,226,2,40.802098,440,116 St,2 3,M,-73.94902499999999,3,S,226-3-S,226-3-S
95,227,1,40.799675,441,Central Park North (110 St),2 3,M,-73.951822,2,S,227-2-S,227-2-S
96,227,2,40.799075,441,Central Park North (110 St),2 3,M,-73.951222,3,S,227-3-S,227-3-S
97,228,1,40.713651,624,Park Pl,2 3,M,-74.008811,2,S,228-2-S,228-2-S
98,228,2,40.713051,624,Park Pl,2 3,M,-74.00821099999999,3,S,228-3-S,228-3-S
99,229,1,40.710015999999996,628,Fulton St,2 3,M,-74.006571,2,S,229-2-S,229-2-S
100,229,2,40.709416,628,Fulton St,2 3,M,-74.00597099999999,3,S,229-3-S,229-3-S
101,230,1,40.707421,333,Wall St,2 3,M,-74.0091,2,S,230-2-S,230-2-S
102,230,2,40.706821,333,Wall St,2 3,M,-74.0085,3,S,230-3-S,230-3-S
103,231,1,40.698066,334,Clark St,2 3,Bk,-73.993086,2,S,231-2-S,231-2-S
104,231,2,40.697466,334,Clark St,2 3,Bk,-73.992486,3,S,231-3-S,231-3-S
105,232,1,40.693819,620,Borough Hall,2 3,Bk,-73.989998,2,S,232-2-S,232-2-S
106,232,2,40.693219,620,Borough Hall,2 3,Bk,-73.989398,3,S,232-3-S,232-3-S
107,233,1,40.691145,336,Hoyt St,2 3,Bk,-73.985065,2,S,233-2-S,233-2-S
108,233,2,40.690545,336,Hoyt St,2 3,Bk,-73.984465,3,S,233-3-S,233-3-S
109,234,1,40.688846,337,Nevins St,2 3 4 5,Bk,-73.980492,2,S,234-2-S,234-2-S
110,234,2,40.688246,337,Nevins St,2 3 4 5,Bk,-73.97989199999999,3,S,234-3-S,234-3-S
111,234,3,40.687646,337,Nevins St,2 3 4 5,Bk,-73.980492,4,S,234-4-S,234-4-S
112,234,4,40.688246,337,Nevins St,2 3 4 5,Bk,-73.981092,5,S,234-5-S,234-5-S
113,235,1,40.684959,617,Atlantic Av - Barclays Ctr,2 3,Bk,-73.977666,2,S,235-2-S,235-2-S
114,235,2,40.684359,617,Atlantic Av - Barclays Ctr,2 3,Bk,-73.977066,3,S,235-3-S,235-3-S
115,236,1,40.681429,339,Bergen St,2 3,Bk,-73.975098,2,S,236-2-S,236-2-S
116,236,2,40.680829,339,Bergen St,2 3,Bk,-73.974498,3,S,236-3-S,236-3-S
117,237,1,40.675835,340,Grand Army Plaza,2 3,Bk,-73.971046,2,S,237-2-S,237-2-S
118,237,2,40.675235,340,Grand Army Plaza,2 3,Bk,-73.970446,3,S,237-3-S,237-3-S
119,238,1,40.672587,341,Eastern Pkwy - Brooklyn Museum,2 3,Bk,-73.964375,2,S,238-2-S,238-2-S
120,238,2,40.671987,341,Eastern Pkwy - Brooklyn Museum,2 3,Bk,-73.963775,3,S,238-3-S,238-3-S
121,239,1,40.671282,626,Franklin Av,2 3 4 5,Bk,-73.958131,2,S,239-2-S,239-2-S
122,239,2,40.670682,626,Franklin Av,2 3 4 5,Bk,-73.95753099999999,3,S,239-3-S,239-3-S
123,239,3,40.670082,626,Franklin Av,2 3 4 5,Bk,-73.958131,4,S,239-4-S,239-4-S
124,239,4,40.670682,626,Franklin Av,2 3 4 5,Bk,-73.958731,5,S,239-5-S,239-5-S
125,241,1,40.668483,353,President St,2 5,Bk,-73.950683,2,S,241-2-S,241-2-S
126,241,2,40.667883,353,President St,2 5,Bk,-73.95008299999999,5,S,241-5-S,241-5-S
127,242,1,40.663342,354,Sterling St,2 5,Bk,-73.95085,2,S,242-2-S,242-2-S
128,242,2,40.662742,354,Sterling St,2 5,Bk,-73.95025,5,S,242-5-S,242-5-S
129,243,1,40.657252,355,Winthrop St,2 5,Bk,-73.9502,2,S,243-2-S,243-2-S
130,243,2,40.656652,355,Winthrop St,2 5,Bk,-73.94959999999999,5,S,243-5-S,243-5-S
131,244,1,40.651443,356,Church Av,2 5,Bk,-73.949575,2,S,244-2-S,244-2-S
132,244,2,40.650843,356,Church Av,2 5,Bk,-73.94897499999999,5,S,244-5-S,244-5-S
133,245,1,40.645697999999996,357,Beverly Rd,2 5,Bk,-73.948959,2,S,245-2-S,245-2-S
134,245,2,40.645098,357,Beverly Rd,2 5,Bk,-73.948359,5,S,245-5-S,245-5-S
135,246,1,40.640567,358,Newkirk Av,2 5,Bk,-73.948411,2,S,246-2-S,246-2-S
136,246,2,40.639967,358,Newkirk Av,2 5,Bk,-73.94781099999999,5,S,246-5-S,246-5-S
137,247,1,40.633435999999996,359,Flatbush Av - Brooklyn College,2 5,Bk,-73.947642,2,S,247-2-S,247-2-S
138,247,2,40.632836,359,Flatbush Av - Brooklyn College,2 5,Bk,-73.947042,5,S,247-5-S,247-5-S
139,248,1,40.670446999999996,343,Nostrand Av,3,Bk,-73.950466,3,S,248-3-S,248-3-S
140,249,1,40.669999,344,Kingston Av,3,Bk,-73.942161,3,S,249-3-S,249-3-S
141,250,1,40.669497,345,Crown Hts - Utica Av,3 4,Bk,-73.932942,3,S,250-3-S,250-3-S
142,250,2,40.668897,345,Crown Hts - Utica Av,3 4,Bk,-73.93234199999999,4,S,250-4-S,250-4-S
143,251,1,40.665317,346,Sutter Av - Rutland Rd,3,Bk,-73.92261,3,S,251-3-S,251-3-S
144,252,1,40.662053,347,Saratoga Av,3,Bk,-73.916327,3,S,252-3-S,252-3-S
145,253,1,40.663149,348,Rockaway Av,3,Bk,-73.908946,3,S,253-3-S,253-3-S
146,254,1,40.664114999999995,349,Junius St,3,Bk,-73.902447,3,S,254-3-S,254-3-S
147,255,1,40.665234999999996,350,Pennsylvania Av,3,Bk,-73.894895,3,S,255-3-S,255-3-S
148,256,1,40.666049,351,Van Siclen Av,3,Bk,-73.889395,3,S,256-3-S,256-3-S
149,257,1,40.666835,352,New Lots Av,3,Bk,-73.884079,3,S,257-3-S,257-3-S
150,301,1,40.82448,436,Harlem - 148 St,3,M,-73.93647,3,S,301-3-S,301-3-S
