,station_id,station_line,boro,lines,long,name,Complex ID,lat,line_,dir,pf_id,node_id
0,101,1,Bx,1,-73.898583,Van Cortlandt Park - 242 St,293,40.889848,1,S,101-1-S,101-1-S
1,103,1,Bx,1,-73.90087,238 St,294,40.885267,1,S,103-1-S,103-1-S
2,104,1,Bx,1,-73.904834,231 St,295,40.879456,1,S,104-1-S,104-1-S
3,106,1,M,1,-73.909831,Marble Hill - 225 St,296,40.875161,1,S,106-1-S,106-1-S
4,107,1,M,1,-73.915279,215 St,297,40.870044,1,S,107-1-S,107-1-S
5,108,1,M,1,-73.918822,207 St,298,40.865221,1,S,108-1-S,108-1-S
6,109,1,M,1,-73.925536,Dyckman St,299,40.861131,1,S,109-1-S,109-1-S
7,110,1,M,1,-73.929412,191 St,300,40.855824999999996,1,S,110-1-S,110-1-S
8,111,1,M,1,-73.933596,181 St,301,40.850105,1,S,111-1-S,111-1-S
9,112,1,M,1,-73.940133,168 St - Washington Hts,605,40.841156,1,S,112-1-S,112-1-S
10,113,1,M,1,-73.94489,157 St,303,40.834641,1,S,113-1-S,113-1-S
11,114,1,M,1,-73.95036,145 St,304,40.827151,1,S,114-1-S,114-1-S
12,115,1,M,1,-73.953676,137 St - City College,305,40.822607999999995,1,S,115-1-S,115-1-S
13,116,1,M,1,-73.958372,125 St,306,40.816181,1,S,116-1-S,116-1-S
14,117,1,M,1,-73.96411,116 St - Columbia University,307,40.808322,1,S,117-1-S,117-1-S
15,118,1,M,1,-73.966847,Cathedral Pkwy,308,40.804567,1,S,118-1-S,118-1-S
16,119,1,M,1,-73.968379,103 St,309,40.800046,1,S,119-1-S,119-1-S
17,120,1,M,1 2 3,-73.972323,96 St,310,40.794519,1,S,120-1-S,120-1-S
18,120,2,M,1 2 3,-73.971723,96 St,310,40.793919,2,S,120-2-S,120-2-S
19,120,3,M,1 2 3,-73.972323,96 St,310,40.793319000000004,3,S,120-3-S,120-3-S
20,121,1,M,1,-73.976218,86 St,311,40.789244,1,S,121-1-S,121-1-S
21,122,1,M,1,-73.979917,79 St,312,40.784534,1,S,122-1-S,122-1-S
22,123,1,M,1 2 3,-73.98197,72 St,313,40.779053,1,S,123-1-S,123-1-S
23,123,2,M,1 2 3,-73.98137,72 St,313,40.778453,2,S,123-2-S,123-2-S
24,123,3,M,1 2 3,-73.98197,72 St,313,40.777853,3,S,123-3-S,123-3-S
25,124,1,M,1,-73.982209,66 St - Lincoln Center,314,40.77404,1,S,124-1-S,124-1-S
26,125,1,M,1,-73.981929,59 St - Columbus Circle,614,40.768847,1,S,125-1-S,125-1-S
27,126,1,M,1,-73.983849,50 St,316,40.762328,1,S,126-1-S,126-1-S
28,127,1,M,1 2 3,-73.987495,Times Sq - 42 St,611,40.75589,1,S,127-1-S,127-1-S
29,127,2,M,1 2 3,-73.98689499999999,Times Sq - 42 St,611,40.75529,2,S,127-2-S,127-2-S
30,127,3,M,1 2 3,-73.987495,Times Sq - 42 St,611,40.754690000000004,3,S,127-3-S,127-3-S
31,128,1,M,1 2 3,-73.991057,34 St - Penn Station,318,40.750973,1,S,128-1-S,128-1-S
32,128,2,M,1 2 3,-73.99045699999999,34 St - Penn Station,318,40.750373,2,S,128-2-S,128-2-S
33,128,3,M,1 2 3,-73.991057,34 St - Penn Station,318,40.749773000000005,3,S,128-3-S,128-3-S
34,129,1,M,1,-73.993365,28 St,319,40.747814999999996,1,S,129-1-S,129-1-S
35,130,1,M,1,-73.995657,23 St,320,40.744681,1,S,130-1-S,130-1-S
36,131,1,M,1,-73.997871,18 St,321,40.74164,1,S,131-1-S,131-1-S
37,132,1,M,1 2 3,-74.000201,14 St,601,40.738426,1,S,132-1-S,132-1-S
38,132,2,M,1 2 3,-73.999601,14 St,601,40.737826,2,S,132-2-S,132-2-S
39,132,3,M,1 2 3,-74.000201,14 St,601,40.737226,3,S,132-3-S,132-3-S
40,133,1,M,1,-74.002906,Christopher St - Sheridan Sq,323,40.734021999999996,1,S,133-1-S,133-1-S
41,134,1,M,1,-74.005367,Houston St,324,40.728851,1,S,134-1-S,134-1-S
42,135,1,M,1,-74.006277,Canal St,325,40.723454,1,S,135-1-S,135-1-S
43,136,1,M,1,-74.006886,Franklin St,326,40.719918,1,S,136-1-S,136-1-S
44,137,1,M,1 2 3,-74.009266,Chambers St,327,40.716077999999996,1,S,137-1-S,137-1-S
45,137,2,M,1 2 3,-74.00866599999999,Chambers St,327,40.715478,2,S,137-2-S,137-2-S
46,137,3,M,1 2 3,-74.009266,Chambers St,327,40.714878,3,S,137-3-S,137-3-S
47,138,1,M,1,-74.012188,Cortlandt St,328,40.712435,1,S,138-1-S,138-1-S
48,139,1,M,1,-74.013783,Rector St,329,40.708113,1,S,139-1-S,139-1-S
49,140,1,M,1,-74.013205,South Ferry Loop,635,40.702011,1,S,140-1-S,140-1-S
50,201,1,Bx,2,-73.85062,Wakefield - 241 St,416,40.903725,2,S,201-2-S,201-2-S
51,204,1,Bx,2 5,-73.854376,Nereid Av,417,40.898979,2,S,204-2-S,204-2-S
52,204,2,Bx,2 5,-73.853776,Nereid Av,417,40.898379,5,S,204-5-S,204-5-S
53,205,1,Bx,2 5,-73.857473,233 St,418,40.893792999999995,2,S,205-2-S,205-2-S
54,205,2,Bx,2 5,-73.856873,233 St,418,40.893193,5,S,205-5-S,205-5-S
55,206,1,Bx,2 5,-73.860341,225 St,419,40.888622,2,S,206-2-S,206-2-S
56,206,2,Bx,2 5,-73.859741,225 St,419,40.888022,5,S,206-5-S,206-5-S
57,207,1,Bx,2 5,-73.862633,219 St,420,40.884495,2,S,207-2-S,207-2-S
58,207,2,Bx,2 5,-73.862033,219 St,420,40.883895,5,S,207-5-S,207-5-S
59,208,1,Bx,2 5,-73.866256,Gun Hill Rd,421,40.87845,2,S,208-2-S,208-2-S
60,208,2,Bx,2 5,-73.865656,Gun Hill Rd,421,40.87785,5,S,208-5-S,208-5-S
61,209,1,Bx,2 5,-73.867164,Burke Av,422,40.871956,2,S,209-2-S,209-2-S
62,209,2,Bx,2 5,-73.866564,Burke Av,422,40.871356,5,S,209-5-S,209-5-S
63,210,1,Bx,2 5,-73.867352,Allerton Av,423,40.866062,2,S,210-2-S,210-2-S
64,210,2,Bx,2 5,-73.86675199999999,Allerton Av,423,40.865462,5,S,210-5-S,210-5-S
65,211,1,Bx,2 5,-73.867615,Pelham Pkwy,424,40.857791999999996,2,S,211-2-S,211-2-S
66,211,2,Bx,2 5,-73.867015,Pelham Pkwy,424,40.857192,5,S,211-5-S,211-5-S
67,212,1,Bx,2 5,-73.868457,Bronx Park East,425,40.849427999999996,2,S,212-2-S,212-2-S
68,212,2,Bx,2 5,-73.867857,Bronx Park East,425,40.848828,5,S,212-5-S,212-5-S
69,213,1,Bx,2 5,-73.873488,E 180 St,426,40.842494,2,S,213-2-S,213-2-S
70,213,2,Bx,2 5,-73.87288799999999,E 180 St,426,40.841894,5,S,213-5-S,213-5-S
71,214,1,Bx,2 5,-73.880049,West Farms Sq - E Tremont Av,427,40.840894999999996,2,S,214-2-S,214-2-S
72,214,2,Bx,2 5,-73.879449,West Farms Sq - E Tremont Av,427,40.840295,5,S,214-5-S,214-5-S
73,215,1,Bx,2 5,-73.887734,174 St,428,40.837888,2,S,215-2-S,215-2-S
74,215,2,Bx,2 5,-73.88713399999999,174 St,428,40.837288,5,S,215-5-S,215-5-S
75,216,1,Bx,2 5,-73.891865,Freeman St,429,40.830593,2,S,216-2-S,216-2-S
76,216,2,Bx,2 5,-73.89126499999999,Freeman St,429,40.829993,5,S,216-5-S,216-5-S
77,217,1,Bx,2 5,-73.893064,Simpson St,430,40.824673,2,S,217-2-S,217-2-S
78,217,2,Bx,2 5,-73.89246399999999,Simpson St,430,40.824073,5,S,217-5-S,217-5-S
79,218,1,Bx,2 5,-73.896736,Intervale Av,431,40.822781,2,S,218-2-S,218-2-S
80,218,2,Bx,2 5,-73.896136,Intervale Av,431,40.822181,5,S,218-5-S,218-5-S
81,219,1,Bx,2 5,-73.90177,Prospect Av,432,40.820184999999995,2,S,219-2-S,219-2-S
82,219,2,Bx,2 5,-73.90117,Prospect Av,432,40.819585,5,S,219-5-S,219-5-S
83,220,1,Bx,2 5,-73.907807,Jackson Av,433,40.81709,2,S,220-2-S,220-2-S
84,220,2,Bx,2 5,-73.907207,Jackson Av,433,40.81649,5,S,220-5-S,220-5-S
85,221,1,Bx,2 5,-73.917757,3 Av - 149 St,434,40.816708999999996,2,S,221-2-S,221-2-S
86,221,2,Bx,2 5,-73.91715699999999,3 Av - 149 St,434,40.816109,5,S,221-5-S,221-5-S
87,222,1,Bx,2 5,-73.926718,149 St - Grand Concourse,603,40.81901,2,S,222-2-S,222-2-S
88,222,2,Bx,2 5,-73.92611799999999,149 St - Grand Concourse,603,40.81841,5,S,222-5-S,222-5-S
89,224,1,M,2 3,-73.94077,135 St,438,40.814828999999996,2,S,224-2-S,224-2-S
90,224,2,M,2 3,-73.94017,135 St,438,40.814229,3,S,224-3-S,224-3-S
91,225,1,M,2 3,-73.945495,125 St,439,40.808354,2,S,225-2-S,225-2-S
92,225,2,M,2 3,-73.94489499999999,125 St,439,40.807754,3,S,225-3-S,225-3-S
93,226,1,M,2 3,-73.949625,116 St,440,40.802698,2,S,226-2-S,226-2-S
94,226,2,M,2 3,-73.94902499999999,116 St,440,40.802098,3,S,226-3-S,226-3-S
95,227,1,M,2 3,-73.951822,Central Park North (110 St),441,40.799675,2,S,227-2-S,227-2-S
96,227,2,M,2 3,-73.951222,Central Park North (110 St),441,40.799075,3,S,227-3-S,227-3-S
97,228,1,M,2 3,-74.008811,Park Pl,624,40.713651,2,S,228-2-S,228-2-S
98,228,2,M,2 3,-74.00821099999999,Park Pl,624,40.713051,3,S,228-3-S,228-3-S
99,229,1,M,2 3,-74.006571,Fulton St,628,40.710015999999996,2,S,229-2-S,229-2-S
100,229,2,M,2 3,-74.00597099999999,Fulton St,628,40.709416,3,S,229-3-S,229-3-S
101,230,1,M,2 3,-74.0091,Wall St,333,40.707421,2,S,230-2-S,230-2-S
102,230,2,M,2 3,-74.0085,Wall St,333,40.706821,3,S,230-3-S,230-3-S
103,231,1,Bk,2 3,-73.993086,Clark St,334,40.698066,2,S,231-2-S,231-2-S
104,231,2,Bk,2 3,-73.992486,Clark St,334,40.697466,3,S,231-3-S,231-3-S
105,232,1,Bk,2 3,-73.989998,Borough Hall,620,40.693819,2,S,232-2-S,232-2-S
106,232,2,Bk,2 3,-73.989398,Borough Hall,620,40.693219,3,S,232-3-S,232-3-S
107,233,1,Bk,2 3,-73.985065,Hoyt St,336,40.691145,2,S,233-2-S,233-2-S
108,233,2,Bk,2 3,-73.984465,Hoyt St,336,40.690545,3,S,233-3-S,233-3-S
109,234,1,Bk,2 3 4 5,-73.980492,Nevins St,337,40.688846,2,S,234-2-S,234-2-S
110,234,2,Bk,2 3 4 5,-73.97989199999999,Nevins St,337,40.688246,3,S,234-3-S,234-3-S
111,234,3,Bk,2 3 4 5,-73.980492,Nevins St,337,40.687646,4,S,234-4-S,234-4-S
112,234,4,Bk,2 3 4 5,-73.981092,Nevins St,337,40.688246,5,S,234-5-S,234-5-S
113,235,1,Bk,2 3,-73.977666,Atlantic Av - Barclays Ctr,617,40.684959,2,S,235-2-S,235-2-S
114,235,2,Bk,2 3,-73.977066,Atlantic Av - Barclays Ctr,617,40.684359,3,S,235-3-S,235-3-S
115,236,1,Bk,2 3,-73.975098,Bergen St,339,40.681429,2,S,236-2-S,236-2-S
116,236,2,Bk,2 3,-73.974498,Bergen St,339,40.680829,3,S,236-3-S,236-3-S
117,237,1,Bk,2 3,-73.971046,Grand Army Plaza,340,40.675835,2,S,237-2-S,237-2-S
118,237,2,Bk,2 3,-73.970446,Grand Army Plaza,340,40.675235,3,S,237-3-S,237-3-S
119,238,1,Bk,2 3,-73.964375,Eastern Pkwy - Brooklyn Museum,341,40.672587,2,S,238-2-S,238-2-S
120,238,2,Bk,2 3,-73.963775,Eastern Pkwy - Brooklyn Museum,341,40.671987,3,S,238-3-S,238-3-S
121,239,1,Bk,2 3 4 5,-73.958131,Franklin Av,626,40.671282,2,S,239-2-S,239-2-S
122,239,2,Bk,2 3 4 5,-73.95753099999999,Franklin Av,626,40.670682,3,S,239-3-S,239-3-S
123,239,3,Bk,2 3 4 5,-73.958131,Franklin Av,626,40.670082,4,S,239-4-S,239-4-S
124,239,4,Bk,2 3 4 5,-73.958731,Franklin Av,626,40.670682,5,S,239-5-S,239-5-S
125,241,1,Bk,2 5,-73.950683,President St,353,40.668483,2,S,241-2-S,241-2-S
126,241,2,Bk,2 5,-73.95008299999999,President St,353,40.667883,5,S,241-5-S,241-5-S
127,242,1,Bk,2 5,-73.95085,Sterling St,354,40.663342,2,S,242-2-S,242-2-S
128,242,2,Bk,2 5,-73.95025,Sterling St,354,40.662742,5,S,242-5-S,242-5-S
129,243,1,Bk,2 5,-73.9502,Winthrop St,355,40.657252,2,S,243-2-S,243-2-S
130,243,2,Bk,2 5,-73.94959999999999,Winthrop St,355,40.656652,5,S,243-5-S,243-5-S
131,244,1,Bk,2 5,-73.949575,Church Av,356,40.651443,2,S,244-2-S,244-2-S
132,244,2,Bk,2 5,-73.94897499999999,Church Av,356,40.650843,5,S,244-5-S,244-5-S
133,245,1,Bk,2 5,-73.948959,Beverly Rd,357,40.645697999999996,2,S,245-2-S,245-2-S
134,245,2,Bk,2 5,-73.948359,Beverly Rd,357,40.645098,5,S,245-5-S,245-5-S
135,246,1,Bk,2 5,-73.948411,Newkirk Av,358,40.640567,2,S,246-2-S,246-2-S
136,246,2,Bk,2 5,-73.94781099999999,Newkirk Av,358,40.639967,5,S,246-5-S,246-5-S
137,247,1,Bk,2 5,-73.947642,Flatbush Av - Brooklyn College,359,40.633435999999996,2,S,247-2-S,247-2-S
138,247,2,Bk,2 5,-73.947042,Flatbush Av - Brooklyn College,359,40.632836,5,S,247-5-S,247-5-S
139,248,1,Bk,3,-73.950466,Nostrand Av,343,40.670446999999996,3,S,248-3-S,248-3-S
140,249,1,Bk,3,-73.942161,Kingston Av,344,40.669999,3,S,249-3-S,249-3-S
141,250,1,Bk,3 4,-73.932942,Crown Hts - Utica Av,345,40.669497,3,S,250-3-S,250-3-S
142,250,2,Bk,3 4,-73.93234199999999,Crown Hts - Utica Av,345,40.668897,4,S,250-4-S,250-4-S
143,251,1,Bk,3,-73.92261,Sutter Av - Rutland Rd,346,40.665317,3,S,251-3-S,251-3-S
144,252,1,Bk,3,-73.916327,Saratoga Av,347,40.662053,3,S,252-3-S,252-3-S
145,253,1,Bk,3,-73.908946,Rockaway Av,348,40.663149,3,S,253-3-S,253-3-S
146,254,1,Bk,3,-73.902447,Junius St,349,40.664114999999995,3,S,254-3-S,254-3-S
147,255,1,Bk,3,-73.894895,Pennsylvania Av,350,40.665234999999996,3,S,255-3-S,255-3-S
148,256,1,Bk,3,-73.889395,Van Siclen Av,351,40.666049,3,S,256-3-S,256-3-S
149,257,1,Bk,3,-73.884079,New Lots Av,352,40.666835,3,S,257-3-S,257-3-S
150,301,1,M,3,-73.93647,Harlem - 148 St,436,40.82448,3,S,301-3-S,301-3-S
151,302,1,M,3,-73.936245,145 St,437,40.821021,3,S,302-3-S,302-3-S
152,401,1,Bx,4,-73.878751,Woodlawn,378,40.886637,4,S,401-4-S,401-4-S
153,402,1,Bx,4,-73.884655,Mosholu Pkwy,379,40.88035,4,S,402-4-S,402-4-S
154,405,1,Bx,4,-73.890064,Bedford Park Blvd - Lehman College,380,40.874012,4,S,405-4-S,405-4-S
155,406,1,Bx,4,-73.897174,Kingsbridge Rd,381,40.868359999999996,4,S,406-4-S,406-4-S
156,407,1,Bx,4,-73.901034,Fordham Rd,382,40.863403,4,S,407-4-S,407-4-S
157,408,1,Bx,4,-73.903879,183 St,383,40.859007,4,S,408-4-S,408-4-S
158,409,1,Bx,4,-73.907684,Burnside Av,384,40.854053,4,S,409-4-S,409-4-S
159,410,1,Bx,4,-73.911794,176 St,385,40.84908,4,S,410-4-S,410-4-S
160,411,1,Bx,4,-73.914685,Mt Eden Av,386,40.845034,4,S,411-4-S,411-4-S
161,412,1,Bx,4,-73.917791,170 St,387,40.840675,4,S,412-4-S,412-4-S
162,413,1,Bx,4,-73.9214,167 St,388,40.836137,4,S,413-4-S,413-4-S
163,414,1,Bx,4,-73.925831,161 St - Yankee Stadium,604,40.828593999999995,4,S,414-4-S,414-4-S
164,415,1,Bx,4,-73.927351,149 St - Grand Concourse,603,40.818975,4,S,415-4-S,415-4-S
165,416,1,Bx,4 5,-73.929849,138 St - Grand Concourse,391,40.813824,4,S,416-4-S,416-4-S
166,416,2,Bx,4 5,-73.929249,138 St - Grand Concourse,391,40.813224,5,S,416-5-S,416-5-S
167,418,1,M,4 5,-74.009509,Fulton St,628,40.710968,4,S,418-4-S,418-4-S
168,418,2,M,4 5,-74.00890899999999,Fulton St,628,40.710368,5,S,418-5-S,418-5-S
169,419,1,M,4 5,-74.011862,Wall St,413,40.708157,4,S,419-4-S,419-4-S
170,419,2,M,4 5,-74.01126199999999,Wall St,413,40.707557,5,S,419-5-S,419-5-S
171,420,1,M,4 5,-74.014065,Bowling Green,414,40.705417,4,S,420-4-S,420-4-S
172,420,2,M,4 5,-74.013465,Bowling Green,414,40.704817,5,S,420-5-S,420-5-S
173,423,1,Bk,4 5,-73.990151,Borough Hall,620,40.693004,4,S,423-4-S,423-4-S
174,423,2,Bk,4 5,-73.98955099999999,Borough Hall,620,40.692404,5,S,423-5-S,423-5-S
175,501,1,Bx,5,-73.830834,Eastchester - Dyre Av,442,40.8889,5,S,501-5-S,501-5-S
176,502,1,Bx,5,-73.838591,Baychester Av,443,40.879263,5,S,502-5-S,502-5-S
177,503,1,Bx,5,-73.846384,Gun Hill Rd,444,40.870126,5,S,503-5-S,503-5-S
178,504,1,Bx,5,-73.855359,Pelham Pkwy,445,40.859584999999996,5,S,504-5-S,504-5-S
179,505,1,Bx,5,-73.860495,Morris Park,446,40.854963999999995,5,S,505-5-S,505-5-S
180,601,1,Bx,6,-73.828121,Pelham Bay Park,360,40.853062,6,S,601-6-S,601-6-S
181,602,1,Bx,6,-73.832569,Buhre Av,361,40.847409999999996,6,S,602-6-S,602-6-S
182,603,1,Bx,6,-73.836322,Middletown Rd,362,40.844463,6,S,603-6-S,603-6-S
183,604,1,Bx,6,-73.842952,Westchester Sq - E Tremont Av,363,40.840492,6,S,604-6-S,604-6-S
184,606,1,Bx,6,-73.847036,Zerega Av,364,40.837088,6,S,606-6-S,606-6-S
185,607,1,Bx,6,-73.851222,Castle Hill Av,365,40.834855,6,S,607-6-S,607-6-S
186,608,1,Bx,6,-73.860816,Parkchester,366,40.833826,6,S,608-6-S,608-6-S
187,609,1,Bx,6,-73.867618,St Lawrence Av,367,40.832108999999996,6,S,609-6-S,609-6-S
188,610,1,Bx,6,-73.874516,Morrison Av- Sound View,368,40.830121,6,S,610-6-S,610-6-S
189,611,1,Bx,6,-73.879159,Elder Av,369,40.829184,6,S,611-6-S,611-6-S
190,612,1,Bx,6,-73.886283,Whitlock Av,370,40.827124999999995,6,S,612-6-S,612-6-S
191,613,1,Bx,6,-73.890549,Hunts Point Av,371,40.821548,6,S,613-6-S,613-6-S
192,614,1,Bx,6,-73.896435,Longwood Av,372,40.816704,6,S,614-6-S,614-6-S
193,615,1,Bx,6,-73.904098,E 149 St,373,40.812718,6,S,615-6-S,615-6-S
194,616,1,Bx,6,-73.907657,E 143 St - St Mary's St,374,40.809319,6,S,616-6-S,616-6-S
195,617,1,Bx,6,-73.914042,Cypress Av,375,40.805968,6,S,617-6-S,617-6-S
